Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-aa-dixie,AA Dixie Central Office and St. George AA meetings,People in recovery; Spanish-speaking people,People in recovery; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-aaa-prime,AAA Prime Drug & Alcohol Course,,People leaving incarceration,Yes,"Court-directed education establishes justice involvement, but does not establish a substance-use disorder or own recovery."
res-access-foundation,Access Foundation recovery housing,People experiencing homelessness; People leaving incarceration; Low-income households,People in recovery; People experiencing homelessness; People leaving incarceration,Yes,"Add explicitly described recovery housing population. Sliding-fee availability is only a question to confirm, so income targeting is unestablished."
res-addict-ii-athlete,Addict II Athlete Washington County chapter,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-aca-stgeorge,Adult Children of Alcoholics St. George meetings,People in recovery; Families with children,,Yes,Adult children of alcoholic parents are adults seeking family-of-origin peer support; neither minor children in a household nor the attendee's own substance-use recovery is established.
res-alanon-district8,Al-Anon and Alateen Utah District 8 meetings,Children & teens,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bha-utah,Behavioral Health Associates of Utah - St. George,People in recovery,People in recovery; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-better-balance,"Better Balance Psychiatry St. George psychiatry, therapy, IOP, and substance-use treatment",People in recovery; Children & teens; Young adults,People in recovery; Families with children; Children & teens,Yes,Teen eligibility supports child/family access. Listing young adults alongside all adults does not establish a dedicated young-adult service.
res-calvary-harbor,Calvary Chapel Saint George Recovery Ministry at The Harbor,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-canyonlands-beaverdam,"Canyonlands Healthcare Beaver Dam integrated primary, dental, and behavioral health clinic",People in recovery; Low-income households; Uninsured & underinsured,People in recovery; Families with children; Children & teens; Pregnant & postpartum people; Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-capstone,Capstone Counseling Centers Washington County / statewide online services,,People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-cinnamon-hills,Cinnamon Hills Youth Crisis Center adolescent behavioral-health treatment,Children & teens,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-compass-counseling,Compass Counseling St. George,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-counseling-success,Counseling for Success Inc.,People in recovery; Low-income households,People in recovery; People leaving incarceration,Yes,"Court/SUD services explicit; whether sliding-fee assistance exists remains unconfirmed, so remove low-income label."
res-creek-valley,"Creek Valley Health Clinic primary, dental, behavioral health, and MAT access",People in recovery; Low-income households,People in recovery; Families with children; Children & teens; Pregnant & postpartum people; Women; People with serious illness,Yes,"Dedicated pediatric, maternity, women's-health and chronic-disease services are explicit. Generic discounts and uncertain sliding-fee thresholds do not establish income restriction."
res-cma-utah,Crystal Meth Anonymous Utah Area - St. George meetings,,People in recovery,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-desert-solace,Desert Solace substance-abuse treatment,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dixie-alano,Dixie Alano Club recovery meeting facility,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-eagle-ranch-academy,Eagle Ranch Academy teen substance abuse residential treatment,People in recovery; Children & teens,People in recovery; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-eagle-ranch-outpatient,Eagle Ranch Outpatient Services,People in recovery; Children & teens,People in recovery; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-family-healthcare-mat,Family Healthcare medication-assisted treatment,People in recovery; Low-income households; Uninsured & underinsured,People in recovery; Low-income households; Uninsured & underinsured,No,Reentry wording is referral-planning advice; no dedicated justice eligibility is established.
res-fourpoints,FourPoints Health St. George behavioral health and substance-use services,People in recovery; Native & tribal communities; Low-income households,People in recovery; Native & tribal communities; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-gold-counseling,Gold Counseling St. George substance-abuse support,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-helping-hearts,Helping Hearts Recovery,People in recovery,People in recovery; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-high-desert,"High Desert Counseling outpatient addiction, co-occurring mental-health, and harm-reduction treatment",People in recovery; Low-income households,People in recovery; People leaving incarceration; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hope-rising,Hope Rising Detox & Rehabilitation Southern Utah continuum,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-compass,Intermountain Health COMPASS Program - Washington County,People in recovery; Uninsured & underinsured,People in recovery; Uninsured & underinsured,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-access-center,St. George Regional Hospital Behavioral Health Access Center,People in recovery; Children & teens,People in recovery,Yes,"The Access Center route describes adults 18+. Pediatric and senior services are listed on a broader hospital page, with fit at this access route unconfirmed; do not treat that as established child eligibility."
res-jackys-recovery,Jacky's Recovery Support Services - St. George contact,Spanish-speaking people,People in recovery; Spanish-speaking people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-liahona,Liahona Academy adolescent boys residential mental-health and co-occurring substance-use support,People in recovery; Children & teens,People in recovery; Families with children; Children & teens; Men,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
