Category,Review priority,Resource,Reason,Question to resolve,Resource ID
Addiction,Start here,AA Dixie Central Office and St. George AA meetings,"Establish a local mutual-aid meeting route early, including how to find an appropriate current meeting.",,res-aa-dixie
Addiction,Important specialized help,AAA Prime Drug & Alcohol Course,Review for this particular program or eligibility pathway: Court-linked Prime For Life/DUI alcohol and drug education provider listed for Washington County/St. George.,,res-aaa-prime
Addiction,Important specialized help,Access Foundation recovery housing,"Review for this particular program or eligibility pathway: Southern Utah recovery housing network serving people in recovery, including people transitioning from incarceration or homelessness, with peer support, case management, employment support, life-skills development, and resident….",,res-access-foundation
Addiction,Additional options,Addict II Athlete Washington County chapter,"Keep as a further option after establishing the starting routes in Addiction: Free Washington County peer recovery support meeting combining a recovery lesson, discussion, and physical activity for people affected by addiction, mental illness, trauma, or loss.",,res-addict-ii-athlete
Addiction,Important specialized help,Adult Children of Alcoholics St. George meetings,Review for this particular program or eligibility pathway: Adult Children of Alcoholics and Dysfunctional Families peer meetings in St. George.,,res-aca-stgeorge
Addiction,Start here,Al-Anon and Alateen Utah District 8 meetings,"Establish support for people affected by another person's drinking, including the separate Alateen age route.",,res-alanon-district8
Addiction,Additional options,Behavioral Health Associates of Utah - St. George,Keep as a further option after establishing the starting routes in Addiction: St. George outpatient behavioral health provider listed by Utah DHHS for comprehensive outpatient SUD treatment and DUI evaluations.,,res-bha-utah
Addiction,Additional options,"Better Balance Psychiatry St. George psychiatry, therapy, IOP, and substance-use treatment","Keep as a further option after establishing the starting routes in Addiction: St. George psychiatry practice offering psychiatric evaluation, medication management, therapy, TMS, ketamine/Spravato, EMDR, IOP, and substance-use or dual-diagnosis care.",,res-better-balance
Addiction,Additional options,Calvary Chapel Saint George Recovery Ministry at The Harbor,Keep as a further option after establishing the starting routes in Addiction: Faith-based addiction recovery support ministry meeting at The Harbor.,,res-calvary-harbor
Addiction,Additional options,"Canyonlands Healthcare Beaver Dam integrated primary, dental, and behavioral health clinic","Keep as a further option after establishing the starting routes in Addiction: Nearby Beaver Dam/Littlefield FQHC clinic offering primary/preventive care, dental care, behavioral health, family planning, lab/vaccines, sliding-fee discounts, and behavioral-health/opioid-recovery access near the Utah-Arizona….",,res-canyonlands-beaverdam
Addiction,Additional options,Capstone Counseling Centers Washington County / statewide online services,"Keep as a further option after establishing the starting routes in Addiction: State-licensed, JRI and court-approved provider offering online Utah services, court classes, evaluations, and outpatient treatment.",,res-capstone
Addiction,Important specialized help,Cinnamon Hills Youth Crisis Center adolescent behavioral-health treatment,"Review for this particular program or eligibility pathway: Youth behavioral-health treatment center in St. George providing therapeutic, behavioral, educational, and residential programming for teens in crisis.",,res-cinnamon-hills
